品名,URL,メーカー,名称,保存期間,内容量,原材料,アレルゲン
ライトツナ スーパーノンオイル(165g),https://www.inaba-foods.jp/products/detail/1,いなば食品株式会社,水産缶詰,約3年,165ｇ,きはだまぐろ、野菜スープ、ナチュラルミネラルウォーター、食塩、帆立貝エキス、調味料（アミノ酸等）、紅藻抽出物,None
ライトツナ スーパーノンオイル（タイ産）,https://www.inaba-foods.jp/products/detail/1603,いなば食品株式会社,水産缶詰,約3年,70g,きはだまぐろ、野菜スープ、ナチュラルミネラルウォーター、食塩、帆立貝エキス/調味料（アミノ酸等）、紅藻抽出物,None
ライトツナえごま油,https://www.inaba-foods.jp/products/detail/182,いなば食品株式会社,水産缶詰,約3年,70g,きはだまぐろ、野菜スープ、えごま油、食塩、寒天,None
ライトツナアイフレーク アマニ油,https://www.inaba-foods.jp/products/detail/1505,いなば食品株式会社,水産缶詰,約3年,70ｇ,かつお、野菜スープ、アマニ油、食塩、寒天/酸化防止剤（ビタミンＥ）,None
ライトツナチャンクまぐろ油漬,https://www.inaba-foods.jp/products/detail/236,いなば食品株式会社,水産缶詰,約3年,165g,きはだまぐろ、大豆油、野菜スープ、食塩／調味料（アミノ酸等）,大豆
ライトツナフレーク 70ｇ,https://www.inaba-foods.jp/products/detail/15,いなば食品株式会社,水産缶詰,約3年,70ｇ,まぐろ、大豆油、ナチュラルミネラルウォーター、食塩、野菜エキス、調味料（アミノ酸等）,大豆
ライトツナフレーク 165ｇ,https://www.inaba-foods.jp/products/detail/14,いなば食品株式会社,水産缶詰,約3年,165g,きはだまぐろ、大豆油、野菜スープ、食塩、調味料（アミノ酸等）,大豆
ライトツナフレーク 食塩無添加オイル無添加,https://www.inaba-foods.jp/products/detail/4,いなば食品株式会社,水産缶詰,約3年,70g,きはだまぐろ、野菜スープ、ナチュラルミネラルウォーター,None
ライトツナフレーク 食塩無添加オイル無添加（タイ産）,https://www.inaba-foods.jp/products/detail/1602,いなば食品株式会社,水産缶詰,約3年,70g,きはだまぐろ、野菜スープ、ナチュラルミネラルウォーター,None
ライトツナフレーク減塩,https://www.inaba-foods.jp/products/detail/214,いなば食品株式会社,水産缶詰,約3年,70g,きはだまぐろ、大豆油、野菜スープ、食塩/調味料（アミノ酸等）,大豆
ライトフレーク,https://www.inaba-foods.jp/products/detail/17,いなば食品株式会社,水産缶詰,約3年,70g,かつお、大豆油、ナチュラルミネラルウォーター、食塩、野菜エキス、調味料（アミノ酸等）,大豆
ライトフレークオイル無添加,https://www.inaba-foods.jp/products/detail/183,いなば食品株式会社,水産缶詰,約3年,70g,かつお、野菜スープ、ナチュラルミネラルウォーター、食塩、帆立貝エキス、かつお節エキス、調味料（アミノ酸等）、紅麹抽出物,None
ライトフレーク食塩無添加オイル無添加,https://www.inaba-foods.jp/products/detail/184,いなば食品株式会社,水産缶詰,約3年,70g,かつお、野菜スープ、ナチュラルミネラルウォーター ,None
国産ライトツナフレーク まぐろ油漬け,https://www.inaba-foods.jp/products/detail/1582,いなば食品株式会社,水産缶詰,約3年,70g,きはだまぐろ（輸入又は国産）、大豆油、野菜スープ、食塩、塩こうじ/調味料(アミノ酸等）、（一部に大豆を含む）,大豆
油を使用しないライトフレーク,https://www.inaba-foods.jp/products/detail/8,いなば食品株式会社,水産缶詰,約3年,70g,かつお、ナチュラルミネラルウオーター、食塩、野菜エキス/調味料（アミノ酸等）,None
いわしオリーブオイル漬 塩こうじ仕立て,https://www.inaba-foods.jp/products/detail/1492,いなば食品株式会社,水産缶詰,約3年,150ｇ,いわし（国産）、オリーブオイル、食塩、塩こうじ,None
いわし味付 塩こうじ仕立て,https://www.inaba-foods.jp/products/detail/1491,いなば食品株式会社,水産缶詰,約3年,150ｇ,いわし(国産)、しょうゆ、砂糖、本みりん、しょうが、塩こうじ（一部に小麦・大豆を含む）,小麦、大豆
いわし水煮 塩こうじ仕立て,https://www.inaba-foods.jp/products/detail/1490,いなば食品株式会社,水産缶詰,約3年,150ｇ,いわし(国産)、食塩、塩こうじ,None
かつお・おかかフレーク,https://www.inaba-foods.jp/products/detail/74,いなば食品株式会社,水産缶詰,約3年,75g,かつお、砂糖、しょうゆ（大豆、小麦を含む）、大豆油、かつお節、野菜エキス、増粘剤（加工デンプン）、調味料（アミノ酸等）,小麦、大豆
かつお大根,https://www.inaba-foods.jp/products/detail/73,いなば食品株式会社,水産缶詰,約3年,100g,大根、かつお、砂糖、大豆油、しょうゆ（大豆、小麦を含む）、食塩、野菜エキス、増粘剤（加工デンプン、グァーガム）、調味料（アミノ酸等）,小麦、大豆
